timeStamp	dateFrac	isHoliday	isSunday	cnt	predSimple	predTrig	predHourDay	predHourWeek
2016-05-08 18:00:00	736092.75	0	1	14722	192403	126540	-22289	65489
2016-05-08 19:00:00	736092.791667	0	1	69991	192424	66256	-54979	61128
2016-05-08 20:00:00	736092.833333	0	1	50998	192446	10508	-90206	40313
2016-05-08 21:00:00	736092.875	0	1	38152	192467	-36902	-108893	25947
2016-05-08 22:00:00	736092.916667	0	1	23062	192489	-72744	-125759	11668
2016-05-08 23:00:00	736092.958333	0	1	11660	192511	-94572	-138077	-439
2016-05-09 00:00:00	736093.0	0	0	9854	192532	-59504	51291	-2482
2016-05-09 01:00:00	736093.041667	0	0	5768	192554	-49895	45417	-7776
2016-05-09 02:00:00	736093.083333	0	0	5888	192575	-25004	44943	-8667
2016-05-09 03:00:00	736093.125	0	0	19727	192597	13473	51155	-200
2016-05-09 04:00:00	736093.166667	0	0	39987	192618	62917	65376	15590
2016-05-09 05:00:00	736093.208333	0	0	59583	192640	119960	97394	51871
2016-05-09 06:00:00	736093.25	0	0	224209	192662	180715	227135	210072
2016-05-09 07:00:00	736093.291667	0	0	431120	192683	241043	363330	388907
2016-05-09 08:00:00	736093.333333	0	0	541605	192705	296835	443872	506272
2016-05-09 09:00:00	736093.375	0	0	597749	192726	344291	492286	571941
2016-05-09 10:00:00	736093.416667	0	0	530761	192748	380177	448319	507891
2016-05-09 11:00:00	736093.458333	0	0	520870	192770	402049	438719	490358
2016-05-09 12:00:00	736093.5	0	0	482656	192791	408419	441087	495072
2016-05-09 13:00:00	736093.541667	0	0	494768	192813	398854	427998	485197
2016-05-09 14:00:00	736093.583333	0	0	519625	192834	374007	442007	494685
2016-05-09 15:00:00	736093.625	0	0	536172	192856	335573	435361	490904
2016-05-09 16:00:00	736093.666667	0	0	464191	192878	286173	387447	415317
2016-05-09 17:00:00	736093.708333	0	0	402967	192899	229174	324533	341972
2016-05-09 18:00:00	736093.75	0	0	179253	192921	168463	174225	156659
2016-05-09 19:00:00	736093.791667	0	0	103475	192942	108179	141535	105340
2016-05-09 20:00:00	736093.833333	0	0	58091	192964	52431	106308	59953
2016-05-09 21:00:00	736093.875	0	0	42534	192985	5020	87621	37957
2016-05-09 22:00:00	736093.916667	0	0	22842	193007	-30821	70755	16248
2016-05-09 23:00:00	736093.958333	0	0	12093	193029	-52649	58437	3470
2016-05-10 00:00:00	736094.0	0	0	9385	193050	-4037	26163	-760
2016-05-10 01:00:00	736094.041667	0	0	5410	193072	5572	20289	-7977
2016-05-10 02:00:00	736094.083333	0	0	5403	193093	30463	19815	-8819
2016-05-10 03:00:00	736094.125	0	0	19210	193115	68941	26028	-1754
2016-05-10 04:00:00	736094.166667	0	0	38528	193137	118385	40248	14533
2016-05-10 05:00:00	736094.208333	0	0	60800	193158	175428	72267	50756
2016-05-10 06:00:00	736094.25	0	0	218039	193180	236183	202008	202331
2016-05-10 07:00:00	736094.291667	0	0	383920	193201	296511	338202	356582
2016-05-10 08:00:00	736094.333333	0	0	484291	193223	352303	418745	444552
2016-05-10 09:00:00	736094.375	0	0	535806	193245	399758	467158	508416
2016-05-10 10:00:00	736094.416667	0	0	502194	193266	435644	423192	462875
2016-05-10 11:00:00	736094.458333	0	0	484216	193288	457517	413591	443955
2016-05-10 12:00:00	736094.5	0	0	463998	193309	463887	415960	438566
2016-05-10 13:00:00	736094.541667	0	0	464599	193331	454321	402871	419297
2016-05-10 14:00:00	736094.583333	0	0	488512	193353	429474	416879	439651
2016-05-10 15:00:00	736094.625	0	0	494288	193374	391040	410234	431475
2016-05-10 16:00:00	736094.666667	0	0	465057	193396	341640	362319	379864
2016-05-10 17:00:00	736094.708333	0	0	398313	193417	284642	299406	308679
2016-05-10 18:00:00	736094.75	0	0	164965	193439	223931	149098	123163
2016-05-10 19:00:00	736094.791667	0	0	115601	193460	163647	116408	97601
2016-05-10 20:00:00	736094.833333	0	0	64088	193482	107899	81181	56240
2016-05-10 21:00:00	736094.875	0	0	39866	193504	60488	62494	34026
2016-05-10 22:00:00	736094.916667	0	0	21849	193525	24646	45628	13714
2016-05-10 23:00:00	736094.958333	0	0	12177	193547	2818	33309	1634
2016-05-11 00:00:00	736095.0	0	0	10405	193568	23605	39967	-485
2016-05-11 01:00:00	736095.041667	0	0	5475	193590	33214	34093	-5763
2016-05-11 02:00:00	736095.083333	0	0	5553	193612	58105	33619	-5872
2016-05-11 03:00:00	736095.125	0	0	21751	193633	96583	39831	685
2016-05-11 04:00:00	736095.166667	0	0	39223	193655	146028	54052	15599
2016-05-11 05:00:00	736095.208333	0	0	59349	193676	203070	86070	54576
2016-05-11 06:00:00	736095.25	0	0	227502	193698	263825	215811	211316
2016-05-11 07:00:00	736095.291667	0	0	360814	193720	324154	352006	364856
2016-05-11 08:00:00	736095.333333	0	0	440050	193741	379946	432548	461091
2016-05-11 09:00:00	736095.375	0	0	500979	193763	427401	480962	518532
2016-05-11 10:00:00	736095.416667	0	0	445274	193784	463287	436995	463708
2016-05-11 11:00:00	736095.458333	0	0	455595	193806	485159	427395	474510
2016-05-11 12:00:00	736095.5	0	0	447864	193828	491529	429763	472473
2016-05-11 13:00:00	736095.541667	0	0	442322	193849	481964	416674	456454
2016-05-11 14:00:00	736095.583333	0	0	502951	193871	457117	430683	482311
2016-05-11 15:00:00	736095.625	0	0	510945	193892	418683	424037	475407
2016-05-11 16:00:00	736095.666667	0	0	457227	193914	369283	376123	424699
2016-05-11 17:00:00	736095.708333	0	0	364564	193935	312284	313209	343173
2016-05-11 18:00:00	736095.75	0	0	148990	193957	251574	162901	144537
2016-05-11 19:00:00	736095.791667	0	0	105897	193979	191289	130211	100565
2016-05-11 20:00:00	736095.833333	0	0	68927	194000	135541	94984	57227
2016-05-11 21:00:00	736095.875	0	0	41347	194022	88130	76297	34843
2016-05-11 22:00:00	736095.916667	0	0	24349	194043	52289	59431	14772
2016-05-11 23:00:00	736095.958333	0	0	12077	194065	30460	47113	1276
2016-05-12 00:00:00	736096.0	0	0	10200	194087	3006	34608	-462
2016-05-12 01:00:00	736096.041667	0	0	6007	194108	12615	28734	-5586
2016-05-12 02:00:00	736096.083333	0	0	6219	194130	37506	28260	-5352
2016-05-12 03:00:00	736096.125	0	0	16209	194151	75984	34472	16
2016-05-12 04:00:00	736096.166667	0	0	40680	194173	125429	48693	15608
2016-05-12 05:00:00	736096.208333	0	0	81988	194195	182471	80711	54863
2016-05-12 06:00:00	736096.25	0	0	225738	194216	243226	210452	210672
2016-05-12 07:00:00	736096.291667	0	0	403388	194238	303555	346647	372070
2016-05-12 08:00:00	736096.333333	0	0	496605	194259	359347	427189	459791
2016-05-12 09:00:00	736096.375	0	0	528109	194281	406802	475603	513693
2016-05-12 10:00:00	736096.416667	0	0	477113	194303	442688	431636	464961
2016-05-12 11:00:00	736096.458333	0	0	488428	194324	464560	422036	456962
2016-05-12 12:00:00	736096.5	0	0	447246	194346	470930	424404	449281
